Band_1	Band_2	Band_3	Band_4	Band_5	Band_6	Band_7
317	434	302	2921	1412	568	2537
448	636	810	2776	2893	1570	3075
741	1030	1332	2467	3048	2391	3123
262	382	217	3356	1489	594	2436
306	382	238	2984	1389	488	2386
418	665	486	3675	2286	1015	2637
306	473	257	3299	1590	647	2436
262	405	238	3327	1489	515	2436
262	405	257	3356	1539	621	2436
310	453	318	3212	1488	568	2436
469	657	848	2749	2944	1623	3075
1518	2013	2499	3467	3873	3233	3313
312	431	259	3068	1262	488	2487
356	498	300	3010	1488	647	2487
354	430	319	3153	1539	568	2436
932	1274	1717	2755	3626	2893	3171
741	1030	1332	2525	3526	2814	3075
369	529	365	3030	1662	726	2587
441	666	603	3305	2460	1225	2785
262	450	277	3270	1539	621	2386
470	658	848	2748	2993	1623	3171
346	440	326	2802	1411	567	2537
469	680	848	2805	2844	1491	3027
355	454	339	2952	1513	647	2487
475	661	734	1395	706	331	2637
618	1055	1022	4677	2417	1096	2979
470	635	791	2749	2793	1438	3027
1046	1426	1674	2965	3260	2643	3453
262	405	257	3327	1463	568	2436
354	609	395	4349	2069	780	2487
516	859	676	4611	2213	989	2637
241	450	257	3556	1463	515	2436
845	1162	1408	3325	3349	2364	3027
290	431	280	3296	1564	674	2436
292	455	358	2951	1488	594	2487
285	405	296	3099	1364	515	2436
285	405	238	3185	1338	463	2436
470	636	830	2748	2918	1570	3123
285	382	238	3327	1514	621	2487
285	473	355	3042	1212	437	2537
440	665	525	3364	2411	1199	2735
335	499	320	3180	1538	647	2487
376	630	416	4463	2069	833	2537
597	1055	1042	4734	2367	1017	2979
349	651	336	4576	2018	753	2537
890	1162	1506	2554	3601	2971	3171
